system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,date,img_qual,lat,lon,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19900618_0000000000000000000e,20000.0,16,20000.0,20000.0,20000.0,2901.0,2267.0,2450.0,96.0,1990-06-18,7.0,43.973099524179624,-74.22309706042795,30.0,LANDSAT_5,122.201065,31.786446,,34.0,
1_1_LT05_014029_19900821_0000000000000000000e,332.0,16,682.0,525.0,3930.0,2427.0,2902.0,1074.0,2.0,1990-08-21,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.827362,41.256016,100.0,0.0,
1_1_LT05_014029_19900906_0000000000000000000e,20000.0,16,5052.0,4943.0,6277.0,4100.0,2534.0,3200.0,69.0,1990-09-06,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,138.438507,45.579075,287.0,2.0,
1_1_LT05_014029_19910520_0000000000000000000e,540.0,16,852.0,904.0,2796.0,2760.0,2933.0,1609.0,0.0,1991-05-20,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,128.55098,33.463997,9.0,0.0,
1_1_LT05_014029_19910621_0000000000000000000e,20000.0,16,4462.0,4364.0,5401.0,3613.0,2702.0,2550.0,42.0,1991-06-21,7.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,122.899231,31.427776,354.0,2.0,
1_1_LT05_014029_19910723_0000000000000000000e,418.0,16,774.0,548.0,4312.0,2327.0,2947.0,1043.0,63.0,1991-07-23,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.350327,34.663292,289.0,0.0,
1_1_LT05_014029_19910808_0000000000000000000e,332.0,16,696.0,541.0,3791.0,2211.0,2929.0,1076.0,4.0,1991-08-08,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.616608,37.683922,66.0,0.0,
1_1_LT05_014029_19910824_0000000000000000000e,953.0,16,1174.0,1102.0,3779.0,2203.0,2771.0,1139.0,15.0,1991-08-24,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,134.981979,41.465912,239.0,0.0,
1_1_LT05_014029_19910909_0000000000000000000e,752.0,16,994.0,901.0,3288.0,2211.0,2807.0,1138.0,13.0,1991-09-09,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,140.644669,45.92506,160.0,8.0,
1_1_LT05_014029_19920506_0000000000000000000e,1211.0,16,1242.0,1307.0,1591.0,979.0,2781.0,584.0,29.0,1992-05-06,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.120911,36.004612,46.0,4.0,
1_1_LT05_014029_19920522_0000000000000000000e,661.0,16,916.0,959.0,2509.0,2312.0,2933.0,1413.0,23.0,1992-05-22,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,128.189728,32.933285,192.0,0.0,
1_1_LT05_014029_19920607_0000000000000000000e,2359.0,16,2392.0,2210.0,3369.0,2217.0,2883.0,1288.0,36.0,1992-06-07,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,124.699333,31.46603,60.0,8.0,
1_1_LT05_014029_19920623_0000000000000000000e,489.0,16,812.0,620.0,3438.0,2266.0,2893.0,1121.0,11.0,1992-06-23,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,122.765785,31.524281,144.0,0.0,
1_1_LT05_014029_19920725_0000000000000000000e,447.0,16,682.0,676.0,2890.0,2080.0,2929.0,1271.0,10.0,1992-07-25,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.755753,35.229061,195.0,0.0,
1_1_LT05_014029_19920826_0000000000000000000e,762.0,16,915.0,832.0,2158.0,1310.0,2897.0,738.0,21.0,1992-08-26,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,135.501968,42.379692,384.0,0.0,
1_1_LT05_014029_19920911_0000000000000000000e,2595.0,16,2782.0,2747.0,4435.0,3024.0,2685.0,2189.0,67.0,1992-09-11,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,141.030685,46.955261,60.0,2.0,
1_1_LT05_014029_19930509_0000000000000000000e,562.0,16,874.0,1015.0,2202.0,2601.0,2964.0,1841.0,1.0,1993-05-09,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,131.085388,35.500637,14.0,0.0,
1_1_LT05_014029_19930626_0000000000000000000e,20000.0,16,5800.0,5761.0,6242.0,5679.0,2816.0,4578.0,77.0,1993-06-26,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,122.47274,31.733524,60.0,34.0,
1_1_LT05_014029_19930728_0000000000000000000e,3999.0,16,4287.0,4266.0,5506.0,4885.0,2855.0,4120.0,59.0,1993-07-28,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,126.356529,35.731743,335.0,2.0,
1_1_LT05_014029_19930813_0000000000000000000e,20000.0,16,5739.0,5644.0,6315.0,3636.0,2680.0,2772.0,55.0,1993-08-13,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,131.047562,39.04277,367.0,2.0,
1_1_LT05_014029_19930829_0000000000000000000e,396.0,16,659.0,593.0,3335.0,2353.0,2924.0,1186.0,3.0,1993-08-29,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,136.548767,43.081783,42.0,0.0,
1_1_LT05_014029_19930930_0000000000000000000e,494.0,16,676.0,808.0,2814.0,2194.0,2802.0,1159.0,14.0,1993-09-30,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,147.05864,52.830799,79.0,0.0,
1_1_LT05_014029_19940528_0000000000000000000e,20000.0,16,8599.0,20000.0,20000.0,20000.0,2604.0,5567.0,84.0,1994-05-28,7.0,43.973099524179624,-74.22309706042795,58.0,LANDSAT_5,125.425911,32.857784,108.0,34.0,
1_1_LT05_014029_19940613_0000000000000000000e,526.0,16,866.0,691.0,3475.0,2568.0,2929.0,1352.0,8.0,1994-06-13,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,122.325996,31.988705,261.0,0.0,
1_1_LT05_014029_19940629_0000000000000000000e,20000.0,16,10212.0,20000.0,10016.0,2535.0,2472.0,2019.0,65.0,1994-06-29,9.0,43.973099524179624,-74.22309706042795,10.0,LANDSAT_5,121.106422,32.559219,998.0,34.0,
1_1_LT05_014029_19940731_0000000000000000000e,895.0,16,1054.0,907.0,3438.0,1827.0,2797.0,945.0,41.0,1994-07-31,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.495834,36.9641,341.0,0.0,
1_1_LT05_014029_19940816_0000000000000000000e,2461.0,16,2734.0,2711.0,4456.0,3652.0,2792.0,2990.0,7.0,1994-08-16,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,130.270248,40.415295,186.0,2.0,
1_1_LT05_014029_19940901_0000000000000000000e,4346.0,16,4540.0,4515.0,5368.0,4338.0,2766.0,3596.0,78.0,1994-09-01,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,135.760208,44.549263,339.0,4.0,
1_1_LT05_014029_19940917_0000000000000000000e,20000.0,16,20000.0,20000.0,20000.0,20000.0,2761.0,6399.0,67.0,1994-09-17,9.0,43.973099524179624,-74.22309706042795,62.0,LANDSAT_5,141.190384,49.267017,284.0,34.0,
1_1_LT05_014029_19950531_0000000000000000000e,539.0,16,844.0,803.0,2762.0,2560.0,2920.0,1411.0,0.0,1995-05-31,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,120.840462,34.439663,192.0,0.0,
1_1_LT05_014029_19950616_0000000000000000000e,422.0,16,719.0,573.0,3372.0,2415.0,2938.0,1157.0,0.0,1995-06-16,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,117.985756,33.947994,167.0,0.0,
1_1_LT05_014029_19950702_0000000000000000000e,1240.0,16,1390.0,1273.0,3481.0,1810.0,2663.0,1097.0,44.0,1995-07-02,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,117.139374,34.819317,281.0,2.0,
1_1_LT05_014029_19950718_0000000000000000000e,569.0,16,919.0,687.0,3927.0,2358.0,2938.0,1147.0,59.0,1995-07-18,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,118.600388,36.757824,269.0,0.0,
1_1_LT05_014029_19950819_0000000000000000000e,322.0,16,618.0,517.0,3384.0,2231.0,2933.0,1089.0,4.0,1995-08-19,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,126.936729,43.045864,101.0,0.0,
1_1_LT05_014029_19950904_0000000000000000000e,418.0,16,699.0,533.0,3231.0,2320.0,2883.0,1000.0,5.0,1995-09-04,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.409271,47.179005,190.0,0.0,
1_1_LT05_014029_19960501_0000000000000000000e,737.0,16,952.0,1192.0,2662.0,2898.0,2836.0,1834.0,31.0,1996-05-01,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.072113,38.973209,122.0,0.0,
1_1_LT05_014029_19960602_0000000000000000000e,546.0,16,828.0,856.0,2815.0,2580.0,2947.0,1458.0,6.0,1996-06-02,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,122.091805,33.312523,131.0,0.0,
1_1_LT05_014029_19960618_0000000000000000000e,1682.0,16,1876.0,1627.0,4071.0,2169.0,2708.0,1263.0,42.0,1996-06-18,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,119.985847,32.795856,424.0,2.0,
1_1_LT05_014029_19960805_0000000000000000000e,375.0,16,657.0,522.0,3640.0,2405.0,2938.0,1027.0,6.0,1996-08-05,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,126.609634,38.222134,146.0,0.0,
1_1_LT05_014029_19960821_0000000000000000000e,627.0,16,846.0,662.0,4133.0,2468.0,2924.0,1116.0,68.0,1996-08-21,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.112793,41.733372,386.0,0.0,
1_1_LT05_014029_19960906_0000000000000000000e,1240.0,16,1323.0,1197.0,3416.0,2159.0,2761.0,1255.0,15.0,1996-09-06,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,138.052368,45.922848,579.0,0.0,
1_1_LT05_014029_19960922_0000000000000000000e,2046.0,16,2161.0,2041.0,3135.0,1407.0,2657.0,972.0,72.0,1996-09-22,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,143.690445,50.684422,286.0,2.0,
1_1_LT05_014029_19970621_0000000000000000000e,2265.0,16,2344.0,2149.0,4143.0,2375.0,2616.0,1508.0,100.0,1997-06-21,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.2892,30.373581,,2.0,
1_1_LT05_014029_19970707_0000000000000000000e,3808.0,16,3845.0,3749.0,5386.0,3975.0,2680.0,3119.0,81.0,1997-07-07,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.501839,31.45322,393.0,2.0,
1_1_LT05_014029_19970824_0000000000000000000e,1041.0,16,1121.0,1064.0,2840.0,1584.0,2836.0,962.0,28.0,1997-08-24,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,137.936722,40.551079,146.0,8.0,
1_1_LT05_014029_19970909_0000000000000000000e,1335.0,16,1590.0,1560.0,3688.0,2603.0,2860.0,1531.0,18.0,1997-09-09,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,143.610443,45.101891,185.0,8.0,
1_1_LT05_014029_19970925_0000000000000000000e,2676.0,16,2791.0,2703.0,4327.0,2283.0,2579.0,1551.0,84.0,1997-09-25,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,148.820358,50.16436,216.0,2.0,
1_1_LT05_014029_19980507_0000000000000000000e,1006.0,16,1293.0,1314.0,2870.0,2275.0,2883.0,1450.0,50.0,1998-05-07,7.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,136.955383,34.063679,73.0,4.0,
1_1_LT05_014029_19980523_0000000000000000000e,480.0,16,831.0,725.0,3410.0,2711.0,2911.0,1532.0,0.0,1998-05-23,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,133.255859,30.886269,56.0,0.0,
1_1_LT05_014029_19980710_0000000000000000000e,407.0,16,401.0,327.5,1506.0,660.0,2855.0,328.0,66.0,1998-07-10,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,128.468857,30.684155,385.0,8.0,
1_1_LT05_014029_19980726_0000000000000000000e,20000.0,16,6360.0,6315.0,7232.0,5967.0,2685.0,4518.0,53.0,1998-07-26,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,131.231323,33.110928,287.0,34.0,
1_1_LT05_014029_19980827_0000000000000000000e,370.0,16,611.0,586.0,3240.0,2361.0,2933.0,1070.0,2.0,1998-08-27,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,141.082382,40.557777,94.0,0.0,
1_1_LT05_014029_19990611_0000000000000000000e,430.0,16,828.0,614.0,3775.5,2534.0,2942.0,1269.0,0.0,1999-06-11,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.456131,29.223335,71.0,0.0,
1_1_LT05_014029_19990627_0000000000000000000e,440.0,16,818.0,692.0,4135.0,2470.0,2964.0,1126.0,20.0,1999-06-27,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.812347,29.533459,151.0,0.0,
1_1_LT05_014029_19990713_0000000000000000000e,3374.0,16,3918.0,3905.0,5840.0,5098.0,2831.0,4058.0,84.0,1999-07-13,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,128.560333,31.131714,172.0,8.0,
1_1_LT05_014029_19990729_0000000000000000000e,2126.0,16,2361.0,2316.0,4657.0,3513.0,2708.0,2793.0,71.0,1999-07-29,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,131.564697,33.772297,194.0,2.0,
1_1_LT05_014029_19990830_0000000000000000000e,1347.0,16,1520.0,1425.0,4180.0,2769.0,2846.0,1607.0,64.0,1999-08-30,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,141.468338,41.537861,191.0,8.0,
