system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,NO3,cloud_cover,date,elev,img_qual,lat,lon,ppt,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_20030910_0000000000000000000e,456.0,16,632.0,605.0,3322.0,2290.0,2893.0,1032.0,0.79,0.0,2003-09-10,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,145.356094,44.776649,192.0,0.0,
1_1_LT05_014029_20030926_0000000000000000000e,410.0,16,595.0,612.0,3081.0,2184.0,2865.0,1014.0,0.79,8.0,2003-09-26,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,150.390762,49.942585,9.0,0.0,
1_1_LT05_014029_20040507_0000000000000000000e,956.0,10,1219.0,1383.0,2817.0,3134.0,2846.0,1858.0,0.79,63.0,2004-05-07,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,137.958496,33.56459,142.0,0.0,
1_1_LT05_014029_20040608_0000000000000000000e,479.0,16,782.0,657.0,3899.0,2586.0,2955.0,1359.0,0.79,51.0,2004-06-08,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,131.152451,28.825378,368.0,0.0,
1_1_LT05_014029_20040624_0000000000000000000e,427.0,16,769.0,617.0,4020.0,2385.0,2938.0,1120.0,0.79,18.0,2004-06-24,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,129.42012,28.839584,198.0,0.0,
1_1_LT05_014029_20040710_0000000000000000000e,821.0,16,1015.0,803.0,4567.0,2464.0,2911.0,988.0,0.79,65.0,2004-07-10,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,130.019363,30.192429,405.0,0.0,
1_1_LT05_014029_20040811_0000000000000000000e,557.0,15,774.0,649.0,4155.0,2428.0,2915.0,1079.0,0.79,56.0,2004-08-11,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,137.504059,36.003426,208.0,4.0,
1_1_LT05_014029_20050510_0000000000000000000e,654.0,16,943.0,1090.0,2517.0,2804.0,2920.0,1675.0,0.79,0.0,2005-05-10,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,139.947708,32.120625,39.0,0.0,
1_1_LT05_014029_20050627_0000000000000000000e,403.0,16,683.0,520.0,3914.0,2283.0,2968.0,1038.0,0.79,3.0,2005-06-27,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,131.555756,28.223286,280.0,0.0,
1_1_LT05_014029_20050729_0000000000000000000e,412.0,16,766.0,614.0,3982.0,2470.0,2933.0,1089.0,0.79,15.0,2005-07-29,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,135.461685,32.539207,192.0,0.0,
1_1_LT05_014029_20060630_0000000000000000000e,445.0,16,779.0,551.0,4408.0,2444.0,2906.0,1125.0,0.79,62.0,2006-06-30,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,133.62999,27.725674,382.0,0.0,
1_1_LT05_014029_20060716_0000000000000000000e,332.0,16,672.0,513.0,3960.0,2196.0,2977.0,996.0,0.79,22.0,2006-07-16,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,134.862411,29.535034,144.0,0.0,
1_1_LT05_014029_20060801_0000000000000000000e,945.0,15,1137.0,928.0,4186.0,2501.0,2947.0,1438.0,0.79,43.0,2006-08-01,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,138.250824,32.426495,575.0,0.0,
1_1_LT05_014029_20060817_0000000000000000000e,355.0,16,629.0,568.0,3557.0,2364.0,2938.0,1122.0,0.79,22.0,2006-08-17,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,143.029037,36.226513,118.0,0.0,
1_1_LT05_014029_20060918_0000000000000000000e,665.0,16,906.0,826.0,2902.0,2311.0,2855.0,1086.0,0.79,46.0,2006-09-18,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,153.304901,45.982498,120.0,0.0,
1_1_LT05_014029_20070703_0000000000000000000e,470.0,15,794.0,608.0,4424.0,2389.0,2929.0,1032.0,0.79,19.0,2007-07-03,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,134.013657,27.846287,193.0,0.0,
1_1_LT05_014029_20070804_0000000000000000000e,251.0,1,455.0,334.0,3280.0,1344.0,2938.0,545.0,0.79,10.0,2007-08-04,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,139.067398,32.997845,87.0,0.0,
1_1_LT05_014029_20070905_0000000000000000000e,378.0,16,618.0,592.0,3091.0,2152.0,2874.0,1023.0,0.79,4.0,2007-09-05,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,149.018158,41.705647,102.0,0.0,
1_1_LT05_014029_20070921_0000000000000000000e,424.0,16,635.0,643.0,2799.0,2195.0,2933.0,1048.0,0.79,3.0,2007-09-21,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,153.823105,46.990334,9.0,0.0,
1_1_LT05_014029_20080518_0000000000000000000e,1037.0,16,1367.0,1366.0,3175.0,2964.0,2855.0,1750.0,0.79,25.0,2008-05-18,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,138.424789,30.324188,87.0,0.0,
